"Term: %1","Laufzeit: %1"
"Monthly payment: %1","Monatliche Rate: %1"
"Fee amount: %1","Finanzierungskosten: %1"
"Total cost: %1","Gesamtbetrag: %1"
"Fee","Finanzierungskosten"
"Instalments Fee","Finanzierungskosten"
"PayPal Instalments Settings","PayPal Ratenkauf Einstellungen"
"In order to use PayPal Instalments you have to be vetted by PayPal. Please contact PayPal directly.","Achtung! Damit PayPal Ratenkauf von Ihnen genutzt werden kann, muß es zunächst von PayPal freigeschaltet werden. Bitte kontaktieren Sie PayPal direkt."
"<a href=""https://financing.paypal.com/ppfinportal/registration/"" target=""_blank"">Recieve</a> your publisher ID","<a href=""https://financing.paypal.com/ppfinportal/registration/"" target=""_blank"">Hierüber</a> erhalten Sie Ihre Publisher ID"
"Show upstream banner on product page","Zeige Upstream Banner auf der Produktseite"
"Show upstream banner on cart","Zeige Upstream Banner im Warenkorb"
"Show upstream banner on payment method","Zeige Upstream Banner im Checkout"
"Lender","Darlehensgeber"
"Lender, Lender address","Darlehensgeber, Anschrift Darlehensgeber"
"Finanzierung ab %1€ im Monat möglich","Finanzierung ab %1€ im Monat möglich"
"Informationen zu möglichen Raten","Informationen zu möglichen Raten"
"Finanzierung ab %1€ in %2 monatlichen Raten mit Ratenzahlung Powered by PayPal", "Finanzierung ab %1€ in %2 monatlichen Raten mit Ratenzahlung Powered by PayPal"
"Finanzierung verfügbar ab 99€ bis 5.000€ Warenkorbwert","Finanzierung verfügbar ab 99€ bis 5.000€ Warenkorbwert"
"Finanzierung ab %1€ im Monat möglich","Finanzierung ab %1€ im Monat möglich"
"Informationen zu möglichen Raten","Informationen zu möglichen Raten"
"Repräsentatives Beispiel gem. § 6a PAngV:","Repräsentatives Beispiel gem. § 6a PAngV:"
"Nettodarlehensbetrag: %1€","Nettodarlehensbetrag: %1€"
"Nettodarlehensbetrag:","Nettodarlehensbetrag:"
"Fester Sollzinssatz %1%%, effekt. Jahreszins %1%%, zu zahlender Gesamtbetrag %1€, %1 monatliche Raten in Höhe von %1€","Fester Sollzinssatz %1%%, effektiver. Jahreszins %1%%, zu zahlender Gesamtbetrag %1€, %1 monatliche Raten in Höhe von %1€"
"Darlehensgeber: %1","Darlehensgeber: %1"
"Sie können diesen %1 auch finanzieren!","Sie können diesen %1 auch finanzieren!"
"Zahlen Sie bequem und einfach in monatlichen Raten","Zahlen Sie bequem und einfach in monatlichen Raten"
"Ihre Ratenzahlung und den passenden Finanzierungsplan können Sie im Rahmen des Bestellprozesses auswählen.","Ihre Ratenzahlung und den passenden Finanzierungsplan können Sie im Rahmen des Bestellprozesses auswählen."
"Plan %1","Plan %1"
"<strong>%1€</strong> pro Monat (%2 Raten)","<strong>%1€</strong> pro Monat (%2 Raten)"
"fester Sollzinssatz:","fester Sollzinssatz:"
"effekt. Jahreszins:","effektiver Jahreszins:"
"zu zahlender Gesamtbetrag:","zu zahlender Gesamtbetrag:"
"monatliche Raten in Höhe von:","monatliche Raten in Höhe von:"
"Zinsen:","Zinsbetrag:"
"Gesamtbetrag:","Gesamtbetrag:"
"* Zugleich repräsentatives Beispiel gem. § 6a PAngV","* Zugleich repräsentatives Beispiel gem. § 6a PAngV"
"Zahlen Sie bei uns bequem und einfach mit","Zahlen Sie bei uns bequem und einfach mit"
"Ihr Antrag erfolgt komplett online und wird in wenigen Schritten hier im Shop abgeschlossen.","Ihr Antrag erfolgt komplett online und wird in wenigen Schritten hier im Shop abgeschlossen."
"Show generic upstream promotion on home page","Zeige generische Upstream Bewerbung auf Startseite"
"Show generic upstream promotion on category pages","Zeige generische Upstream Bewerbung auf Kategorie-Seiten"
"Show specific upstream promotion on product page","Zeige spezifische Upstream Bewerbung auf Produkt-Seite"
"Show specific upstream promotion on cart","Zeige spezifische Upstream Bewerbung im Einkaufswagen"
"Show specific upstream promotion on payment method","Zeige spezifische Upstream Bewerbung bei der Zahlungsart"
"Show specific upstream promotions with calculated values","Zeige spezifische Upstream Bewerbungen mit berechneten Werten"
"Grand Total (incl. Fee)","Gesamtsumme (inklusive Finanzierungskosten)"
"Unable to start Instalments.","Ratenzahlung konnte nicht gestartet werden."
"Instalments has been canceled.","Ratenzahlung wurde abgebrochen."
"Instalments and Order have been canceled.","Ratenzahlung und Bestellung wurden abgebrochen."
"Unable to cancel Instalments.","Ratenzahlung konnte nicht abgebrochen werden."
"Unable to initialize Express Checkout.","Express Checkout konnt enicht initialisiert werden."
"Unable to process Instalments approval.","Genehmigung für Ratenzahlung konnte nicht durchgeführt werden."
"PayPalInstalments Payment Settings","PayPal Ratenkauf Zahlungseinstellungen"
"PayPalInstalments Api Settings","PayPal Api Einstellungen (gleich mit PayPal Express)"
